# Events
EVTTITLEPSL.1;The First Haircut;;;;;;;;;;;;;x
EVTDESCPSL.1;The time has come for my son's first haircut. It signifies among us the passage of a boy from a child to a man. A father traditionally cuts his son's hair, which also signifies his father's acceptance that the boy is, indeed, his son.;;;;;;;;;;;;;x
EVTOPTAPSL.1;By the glory of [From.Religion.GetRandomGodName], he is indeed my son!;;;;;;;;;;;;;x
EVTOPTBPSL.1;Alas, I am this child's father, but I wish I weren't.;;;;;;;;;;;;;x
EVTOPTCPSL.1;This brat is not of my own blood, nor is he a man!;;;;;;;;;;;;;x
EVTTITLEPSL.2;The Day of Grandfathers;;;;;;;;;;;;;x
EVTDESCPSL.2;Today is the day of grandfathers, when our dead ancestors' spirits roam freely through the world of the living. In order to gain their favour, people must bring them an offering of food, and some even attempt to find their ancestors' wisdom via dark magic. Lights to guide the spirits from the darkness and towards their loved ones are lit.;;;;;;;;;;;;;x
EVTOPTAPSL.2;May the fires guide you and this honey and grits satiate your hunger, o spirits!;;;;;;;;;;;;;x
EVTOPTBPSL.2;Who cares about spirits and ghosts, anyway?;;;;;;;;;;;;;x
EVTOPTCPSL.2;Hear me, spirits, and give me your knowledge, your power!;;;;;;;;;;;;;x
march_or_september;The month is March or September;;;;;;;;;;;;;x # A custom tooltip
EVTTITLEPSL.3;Kupala;;;;;;;;;;;;;x
EVTDESCPSL.3;Tonight will be Kupala Night, a festival of fertility. Lovers jump over the flames of a bonfire whilst holding hands to test their dedication towards each other, and separation signifies their destiny to be forever separated. Village folk go into the forest to find a fern flower to give them prosperity and fortune. There is usually a small feast, as well.;;;;;;;;;;;;;x
EVTOPTAPSL.3;There cannot be a feast without me!;;;;;;;;;;;;;x
EVTOPTBPSL.3;I'll go and find a fern flower. I might even come upon someone.;;;;;;;;;;;;;x
EVTOPTCPSL.3;I'll go and find a fern flower. I might even come upon someone.;;;;;;;;;;;;;x
EVTOPTDPSL.3;My spouse and I shall jump over the fire!;;;;;;;;;;;;;x
EVTOPTEPSL.3;I think I'll just stay home.;;;;;;;;;;;;;
# Opinion Modifiers
first_haircut_done;Cut Son's Hair;;;;;;;;;;;;;x
first_haircut_unwilling;Unwillingly Cut Son's Hair;;;;;;;;;;;;;x
first_haircut_refused;Didn't Cut Son's Hair;;;;;;;;;;;;;x
kupala;Jumped Over Flames Together;;;;;;;;;;;;;x
# Titles
job_spiritual_slavic_pagan;Volhv;Devin;Wahrsager;;Augur;;;;;;;;;x
job_spiritual_female_slavic_pagan;Volhva;Devin;Wahrsager;;Augur;;;;;;;;;x
job_spiritual_slavic_pagan_reformed;Volhv;Devin;Wahrsager;;Augur;;;;;;;;;x
job_spiritual_female_slavic_pagan_reformed;Volhva;Devin;Wahrsager;;Augur;;;;;;;;;x
job_marshal_slavic_pagan;Voivode;;;;;;;;;;;;;x
job_marshal_slavic_pagan_reformed;Voivode;;;;;;;;;;;;;x
count_slavic_pagan;Count;;;;;;;;;;;;;x
count_female_slavic_pagan;Countess;;;;;;;;;;;;;x
county_of_slavic_pagan;County of;;;;;;;;;;;;;x
#count_slavic_pagan_reformed;Count;;;;;;;;;;;;;x
#count_female_slavic_pagan_reformed;Countess;;;;;;;;;;;;;x
#county_of_slavic_pagan_reformed;County;;;;;;;;;;;;;x
duke_slavic_pagan;Duke;;;;;;;;;;;;;x
duke_female_slavic_pagan;Duchess;;;;;;;;;;;;;x
duchy_of_slavic_pagan;Duchy of;;;;;;;;;;;;;x
#duke_slavic_pagan_reformed;Duke;;;;;;;;;;;;;x
#duke_female_slavic_pagan_reformed;Duchess;;;;;;;;;;;;;x
#duchy_of_slavic_pagan_reformed;Duchy;;;;;;;;;;;;;x
# God Names
GOD_SVANTEVIT;Svantevit;;;;;;;;;;;;;x
